Safeguard name_l1,Criteria_l2,Interpretation_l3,Criteria_number_l4,Indicator_name_l5,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safegard A,NA,Actions complement or are consistent with the objectives of national forest programmes and relevant international conventions and agreements,NA,N/A - Provincial safeguards monitoring system does not collect information on this safeguard.,NA,NA,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,A. PRAP/REDD+ plan displayed on provincial government website (Y/N),Process,Link on DARD/PPC website,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,B. Number of responses to information requests on PRAP/REDD+ as a proportion of requests received (target = 100%),Process,PSO monitoring,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,C. Number of REDD+ awareness meetings/events held in reporting period at: Provincial level,Process,PSO monitoring (provincial meetings) + site reports (local level),,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,C. Number of REDD+ awareness meetings/events held in reporting period at: Site/local level,Process,PSO monitoring (provincial meetings) + site reports (local level),,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,D. Number of consultation meetings/workshops and participants in reporting period: Total number of consultations,Process,"Meeting/workshop reports and, participant lists",,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,"D. Number of consultation meetings/workshops and participants in reporting period: Total number of participants (incl. by gender and type, e.g. govt/NGO/community)",Process,"Meeting/workshop reports and, participant lists",,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,E. Percentage of FPIC processes/information provided in key EM languages present in area,Process,FPIC monitoring forms,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,F. REDD+ implementation/review information shared: Final provincial REDD+ M&E reports available on website (Y/N),Process,PSO monitoring – Website /,,,,,,,
Safeguard B,B1. Accountability and Transparency,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in",B1.1,F. REDD+ implementation/review information shared: Number of media reports related to REDD+ in province,Process,Media tracking,,,,,,,
