province,package,activity_group,activity,sub_activity,collaborate_organization,main_organization,unit,location,time_rage,target,Column,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động 1: Rà soát điều chỉnh diện tích đất lâm nghiệp và điều chỉnh 3 loại rừng kết hợp với rà soát, đánh giá các quy hoạch chuyển đổi sử dụng đất lâm nghiệp, dừng việc chuyển đổi đất lâm nghiệp đối với các quy hoạch không phù hợp;",,,Sở NN&PTNT /Sở TN&MT,"Sở nông
  nghiệp&PTNT",Ha,"Toàn tỉnh
 1,200,000",2017-2018,1200000.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động 1: Rà soát điều chỉnh diện tích đất lâm nghiệp và điều chỉnh 3 loại rừng kết hợp với rà soát, đánh giá các quy hoạch chuyển đổi sử dụng đất lâm nghiệp, dừng việc chuyển đổi đất lâm nghiệp đối với các quy hoạch không phù hợp;","Hoạt động1.1:
 + Quy hoạch đất lâm nghiệp (rà soát đất lâm nghiệp, điều chỉnh 3 loại rừng).","Rà soát các quy hoạch cao su, thủy điện, các dự án ảnh hưởng tới việc mất rừng.","Sở Nông nghiệp 
 và PTNT/Sở TN&MT","Sở nông
  nghiệp&PTNT",Ha,5000.0,2018-2020,5000.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động 1: Rà soát điều chỉnh diện tích đất lâm nghiệp và điều chỉnh 3 loại rừng kết hợp với rà soát, đánh giá các quy hoạch chuyển đổi sử dụng đất lâm nghiệp, dừng việc chuyển đổi đất lâm nghiệp đối với các quy hoạch không phù hợp;","Hoạt động1.1:
 + Quy hoạch đất lâm nghiệp (rà soát đất lâm nghiệp, điều chỉnh 3 loại rừng).","Hỗ trợ lập quy hoạch, kế hoạch về lâm nghiệp",Sở NN&PTNT,Sở NN&PTNT,,"Các Chủ rừng(BQL rừng Phòng hộ, Đặc dụng, Công ty TNHH và UBND huyện",2018-2020,1200000.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động 1: Rà soát điều chỉnh diện tích đất lâm nghiệp và điều chỉnh 3 loại rừng kết hợp với rà soát, đánh giá các quy hoạch chuyển đổi sử dụng đất lâm nghiệp, dừng việc chuyển đổi đất lâm nghiệp đối với các quy hoạch không phù hợp;",Hoạt động1.2 : Tăng cường công tác đánh giá môi trường và tác động xã hội (ESIA),Hoạt động1.2 : Tăng cường công tác đánh giá môi trường và tác động xã hội (ESIA),Sở TN&MT/Sở NN&PTNT,Sở TN&MT,Lớp tập huấn,"Toàn tỉnh, chú ý trọng tâm các huyện thực hiện REDD+
 18 huyện thị triển khai PRAP",2018-2020,3 lớp tập huấn,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động 1: Rà soát điều chỉnh diện tích đất lâm nghiệp và điều chỉnh 3 loại rừng kết hợp với rà soát, đánh giá các quy hoạch chuyển đổi sử dụng đất lâm nghiệp, dừng việc chuyển đổi đất lâm nghiệp đối với các quy hoạch không phù hợp;",Hoạt động1.3 Xây dựng năng lực về ESIA theo dõi và kiểm tra,Hoạt động1.3 Xây dựng năng lực về ESIA theo dõi và kiểm tra,Sở TN&MT/Sở NN&PTNT,Sở TN&MT,Lớp tập huấn,Ttrọng tâm tập trung các huyện thực hiện REDD+ (18 huyện Ưu tiên thực hiện PRAP).,2018-2020,3 lớp tập huấn,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động2. Hỗ trợ sản xuất nông nghiệp, ngư nghiệp bền vững và không gây mất rừng, suy thoái rừng",Hoạt động2.1: Hỗ trợ và thiết lập diễn đàn trao đổi thông tin về hàng hóa để tạo điều kiện cho đối thoại và chuyển hướng sản xuất bền vững không gây mất rừng và suy thoái rừng.,Hoạt động2.1: Hỗ trợ và thiết lập diễn đàn trao đổi thông tin về hàng hóa để tạo điều kiện cho đối thoại và chuyển hướng sản xuất bền vững không gây mất rừng và suy thoái rừng.,"sở NN&PTNT Nghệ An/Dự án Jica Nông nghiệp, Doanh nghiệp và người sx",,Lớp tập huấn,Toàn tỉnh,2018-2020,3 cuộc,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động2. Hỗ trợ sản xuất nông nghiệp, ngư nghiệp bền vững và không gây mất rừng, suy thoái rừng","Hoạt động2.2: Tiếp tục thử nghiệm, tổng kết và nhân rộng các mô hình sản xuất nông nghiệp, ngư nghiệp bền vững hơn và có tính thích ứng cao với biến đổi khí hậu trong lĩnh vực nuôi trồng thủy sản, nông nghiệp công nghệ cao. Tổ chức thực hiện xây dựng diễn đàn kết nối doanh nghiệp và người sản xuất (diễn đàn về sản phẩm nông nghiệp sạch, Rau, củ quả, Lúa, chè..)",Mô hình SRI,Sở NN&PTNT/UBND huyện,"Trung tâm khuyến Nông, Chi cục Trồng trọt và bảo vệ thực vật, UBND",Ha,"Quỳnh Lưu, Yên Thành, Diễn Châu",2018-2020,200.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động2. Hỗ trợ sản xuất nông nghiệp, ngư nghiệp bền vững và không gây mất rừng, suy thoái rừng","Hoạt động2.2: Tiếp tục thử nghiệm, tổng kết và nhân rộng các mô hình sản xuất nông nghiệp, ngư nghiệp bền vững hơn và có tính thích ứng cao với biến đổi khí hậu trong lĩnh vực nuôi trồng thủy sản, nông nghiệp công nghệ cao. Tổ chức thực hiện xây dựng diễn đàn kết nối doanh nghiệp và người sản xuất (diễn đàn về sản phẩm nông nghiệp sạch, Rau, củ quả, Lúa, chè..)",Mô hình ứng dụng công nghệ tưới nhỏ giọt sử dụng năng lượng mặt trời cho Cam,SNN&PTNT Nghệ An,"Trung tâm khuyến Nông, UBND huyện, Dự án ERICH",Ha,"xã Thanh Mai huyện Thanh Chương, xã Minh Hợp và Nghĩa Bình huyệ Quỳ Hợp, xã Môn Sơn huyện Con Cuông",2018-2020,220.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động2. Hỗ trợ sản xuất nông nghiệp, ngư nghiệp bền vững và không gây mất rừng, suy thoái rừng","Hoạt động2.2: Tiếp tục thử nghiệm, tổng kết và nhân rộng các mô hình sản xuất nông nghiệp, ngư nghiệp bền vững hơn và có tính thích ứng cao với biến đổi khí hậu trong lĩnh vực nuôi trồng thủy sản, nông nghiệp công nghệ cao. Tổ chức thực hiện xây dựng diễn đàn kết nối doanh nghiệp và người sản xuất (diễn đàn về sản phẩm nông nghiệp sạch, Rau, củ quả, Lúa, chè..)",Mô hình nuôi Tôm trên cát hương tới VIETGAP,Sở NN&PTNT,Chi cục Thủy Sản,Ha,"Xã Diễn Trung, Diễn Thịnh huyện Diễn Châu; Hoàng Mai, huyện Quỳnh Lưu (10ha/160ha)",,10.0,,,,,,,,,,,,,,,,,
Nghệ An,A. Nhóm hoạt động giảm mất rừng và suy thoái rừng,"Hoạt động2. Hỗ trợ sản xuất nông nghiệp, ngư nghiệp bền vững và không gây mất rừng, suy thoái rừng","Hoạt động2.2: Tiếp tục thử nghiệm, tổng kết và nhân rộng các mô hình sản xuất nông nghiệp, ngư nghiệp bền vững hơn và có tính thích ứng cao với biến đổi khí hậu trong lĩnh vực nuôi trồng thủy sản, nông nghiệp công nghệ cao. Tổ chức thực hiện xây dựng diễn đàn kết nối doanh nghiệp và người sản xuất (diễn đàn về sản phẩm nông nghiệp sạch, Rau, củ quả, Lúa, chè..)",Rau sạch nhà kính Organic,Tập đoàn TH,"Công ty cổ 
 phần sản xuất 
 & cung ứng rau
  quả sạch Quốc 
 tế (thương hiệu FVF",Ha,"Xã Nghĩa Bình, Huyện Nghĩa Đàn",2018-2020,"4,5",,,,,,,,,,,,,,,,,
