Safeguard name_l1,Criteria_l2,Criteria_l2_VN,Interpretation_l3,Interpretation_l3_VN,Criteria_number_l4,Indicator_name_l5,Indicator_name_l5_vn,Indicator type,Mean of verification,Column,Indicator table,Allias,Column 4,Column 5,Column 6,Column 7
Safegard A,NA,NA,Actions complement or are consistent with the objectives of national forest programmes and relevant international conventions and agreements,Hoạt động bổ sung hoặc phù hợp với các mục tiêu của chương trình lâm nghiệp quốc gia và công ước quốc tế có liên quan và các thỏa thuận,NA,N/A - Provincial safeguards monitoring system does not collect information on this safeguard.,N / A - biện pháp bảo vệ tỉnh hệ thống giám sát thực hiện thông tin không thu thập trên bảo vệ này.,NA,NA,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,A. PRAP/REDD+ plan displayed on provincial government website (Y/N),A. Prap / REDD + Kế hoạch hiển thị trên trang web của chính quyền tỉnh (Y / N),Process,Link on DARD/PPC website,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,B. Number of responses to information requests on PRAP/REDD+ as a proportion of requests received (target = 100%),B. Số lượng phản hồi các yêu cầu thông tin về Prap / REDD + như là một tỷ lệ yêu cầu nhận được (target = 100%),Process,PSO monitoring,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,C. Number of REDD+ awareness meetings/events held in reporting period at: Provincial level,C. Số REDD + họp / sự kiện tổ chức tại kỳ báo cáo tại nhận thức: Cấp tỉnh,Process,PSO monitoring (provincial meetings) + site reports (local level),,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,C. Number of REDD+ awareness meetings/events held in reporting period at: Site/local level,C. Số cuộc họp cao nhận thức về REDD + / sự kiện tổ chức tại kỳ báo cáo tại địa chỉ: Trang web / cấp địa phương,Process,PSO monitoring (provincial meetings) + site reports (local level),,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,D. Number of consultation meetings/workshops and participants in reporting period: Total number of consultations,D. Số tham khảo ý kiến ​​các cuộc họp / hội thảo và tham gia trong kỳ báo cáo: Tổng số tư vấn,Process,"Meeting/workshop reports and, participant lists",,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,"D. Number of consultation meetings/workshops and participants in reporting period: Total number of participants (incl. by gender and type, e.g. govt/NGO/community)","D. Số tham khảo ý kiến ​​các cuộc họp / hội thảo và tham gia trong kỳ báo cáo: (. Bao gồm theo giới tính và chủng loại, ví dụ govt / NGO / cộng đồng) Tổng số người tham gia",Process,"Meeting/workshop reports and, participant lists",,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,E. Percentage of FPIC processes/information provided in key EM languages present in area,E. Tỷ lệ phần trăm của các quá trình FPIC / thông tin được cung cấp bằng các ngôn ngữ EM trọng trình bày trong khu vực,Process,FPIC monitoring forms,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,F. REDD+ implementation/review information shared: Final provincial REDD+ M&E reports available on website (Y/N),F. REDD + thông tin thi / xét chung: Final tỉnh REDD + M & E báo cáo có sẵn trên trang web (Y / N),Process,PSO monitoring – Website /,,,,,,,
Safeguard B,B1. Accountability and Transparency,B1. Trách nhiệm giải trình và tính minh bạch,"Access to Information: Agencies responsible for developing and implementing the PRAPs must provide information regarding the proposed REDD+ actions through active dissemination during both development and implementation and upon request, in","Tiếp cận thông tin: Cơ quan chịu trách nhiệm phát triển và thực hiện PRAPs phải cung cấp thông tin về REDD + hành động đề xuất thông qua phổ biến tích cực trong cả hai phát triển và thực hiện và theo yêu cầu, trong",B1.1,F. REDD+ implementation/review information shared: Number of media reports related to REDD+ in province,F. REDD + thông tin thi / xét chung: Số lượng báo cáo phương tiện truyền thông liên quan đến REDD + trong tỉnh,Process,Media tracking,,,,,,,
