No.,Scientific Name,Synonym,Vietnamese name,Family,Location,Description,Phenology,Habitat,Plant part,Yield,Major compounds,Percentage,Use
,Artemisia vulgaris L.,,Ngải cứu,Asteraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Ageratum houstonianum Mill.,,Tam duyên,Asteraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Pinus kesiya Royle ex Gordon,,Thông ba lá,Pinaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Magnolia grandiflora,,Sen đất,Magnoliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Michelia chevalierii,,,Magnoliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Zingiber clarkei King ex Baker,,Gừng Nam bộ,Zingiberaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Podocarpus neriifolius D.Don,,Thông tre lá dài,Podocarpaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Schefflera chevalieri C.B.Shang,,Chân chim Chevalier,Araliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Nageia wallichiana (C.Presl) Kuntze,,Kim giao núi đất,Podocarpaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Euodia simplicifolia Ridl.,,Dầu dấu lá đơn,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Melicope pteleifolia (Champ. ex Benth.) T.G. Hartley,,Ba chạc,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Pinus dalatensis  Ferré,,Thông Đà Lạt,Pinaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Fokienia hodginsii (Dunn) A.Henry & H H.Thomas ,,Pơ mu,Cupressaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Tetradium glabrifolium (Champ. ex Benth.) T.G. Hartley ,,Dấu dầu lá nhẵn,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Dendropanax macrocarpusCuatrec.,,Thụ sâm quả to,Araliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Oenanthe javanica (Blume) DC. ,,Cần dại,Apiaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Galinsoga quadriradiata Ruiz & Pav.,,Vi cúc lông,Asteraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Zanthoxylum avicennae (Lam.) DC.,,Muồng truổng,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Dacrycarpus imbricatus  (Blume) de Laub. ,,Thông nàng,Podocarpaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Acorus gramineusAiton,,Thạch xương bồ,Acoraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Amomum kwangsiense D.Fang & X.X.Chen,,Sa nhân quảng tây,Zingiberaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Hedychium coronarium J.Koenig,,Bạch điệp,Zingiberaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Chloranthus elatior Link,,Sói đứng,Chloranthaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Litsea lancifolia (Roxb. ex Nees) Fern.-Vill.,,Bời lời thon,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Gaultheria griffithiana Wight,,Gan tiền griffith,Ericaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Zanthoxylum acanthopodium DC. ,,Sẻn,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Litsea cubeba (Lour.) Pers.,,Màng tang,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Lindera chunii Merr.,,Ô đước chun,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Cinnamomum iners Reinw. ex Blume,,Quế rừng,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Aralia foliolosa Seem. ex C.B.Clarke,,Cồng nhiều lá,Araliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Pinus krempfii Lecomte,,Thông lá dẹt,Pinaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Fissistigma polyanthoides (A.DC.) Merr. ,,Dời dơi,Annonaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Magnolia nana Dandy,,Dạ hợp lùn,Magnoliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Hedera sinensis (Tobler) Hand.-Mazz.,,Dây thường xuân,Araliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,Aerial part,,(E)-asarone,25.62,
,Neolitsea ellipsoidea C.K. Allen,,Nô bầu dục,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Piper betle f. densum (Blume) Fosberg,,Tiêu dày,Piperaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Lindera pulcherrima var. hemsleyana (Diels) H.B. Cui,,Ô đước hemsleva,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Aralia dasyphylla Miq. ,,Cuồng lá nhám,Araliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Dacrydium elatum (Roxb.) Wall. ex Hook.,,Hoàng đàn giả,Podocarpaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Zingiber laoticum Gagnep. ,,Gừng lào,Zingiberaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Dysphania ambrosioides(L.) Mosyakin & Clemants,,Dầu giun,Chenopodiaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Hydrocotyle javanica Thunb.,,Rau má java,Apiaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,,,,Magnoliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Toddalia asiatica (L.) Lam.,,Bưởi bung bắc bộ,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Syzygium grande (Wight) Walp.,,Trâm to,Myrtaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Artabotrys pallens Ast,,Móng rồng tái,Annonaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Kadsura coccinea (Lem.) A.C.Sm.,,Na rừng,Schisandraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Dehaasia poilanei H. Liu,,Cà đuối poilane,Lauraceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Rhus chinensis Mill. ,,Muối,Anacardiaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Acronychia pedunculata (L.) Miq.,,Bưởi bung,Rutaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Magnolia citrata Noot. & Chalermglin,,Giổi chanh,Magnoliaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Illicium parviflorum Michx. ex Vent.,,Hồi hoa nhỏ,Illiciaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
,Calocedrus macrolepisKurz,,Bách xanh,Cupressaceae,"Đạ Chais, Lạc Dương, Lâm Đồng",,,,,,,0,
